
2025/02/22 (22:57:06) | ===> btop++ v.1.4.0
2025/02/22 (22:57:06) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/28 (20:01:13) | ===> btop++ v.1.4.0
2025/02/28 (20:01:13) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/28 (20:09:28) | ===> btop++ v.1.4.0
2025/02/28 (20:09:28) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/28 (20:09:36) | ===> btop++ v.1.4.0
2025/02/28 (20:09:36) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/28 (20:50:27) | ===> btop++ v.1.4.0
2025/02/28 (20:50:27) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/17 (17:50:10) | ===> btop++ v.1.4.0
2025/03/17 (17:50:10) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/17 (17:57:01) | ===> btop++ v.1.4.0
2025/03/17 (17:57:01) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/21 (17:32:11) | ===> btop++ v.1.4.0
2025/03/21 (17:32:11) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/23 (15:16:12) | ===> btop++ v.1.4.0
2025/03/23 (15:16:12) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/23 (16:25:52) | ===> btop++ v.1.4.0
2025/03/23 (16:25:52) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/23 (16:42:57) | ===> btop++ v.1.4.0
2025/03/23 (16:42:57) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/23 (16:43:17) | ===> btop++ v.1.4.0
2025/03/23 (16:43:17) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/23 (22:49:39) | ===> btop++ v.1.4.0
2025/03/23 (22:49:39) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/23 (22:58:43) | ===> btop++ v.1.4.0
2025/03/23 (22:58:43) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/26 (12:53:50) | ===> btop++ v.1.2.3
2025/03/26 (12:53:50) | ERROR: Exception in runner thread -> Cpu:: -> key not found

2025/03/26 (12:53:52) | ===> btop++ v.1.2.3
2025/03/26 (12:53:52) | ERROR: Exception in runner thread -> Cpu:: -> key not found

2025/03/26 (12:53:54) | ===> btop++ v.1.2.3
2025/03/26 (12:53:54) | ERROR: Exception in runner thread -> Cpu:: -> key not found

2025/03/26 (23:09:23) | ===> btop++ v.1.4.0
2025/03/26 (23:09:23) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/29 (23:49:21) | ===> btop++ v.1.4.0
2025/03/29 (23:49:21) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/31 (10:44:11) | ===> btop++ v.1.4.0
2025/03/31 (10:44:11) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/02 (21:41:49) | ===> btop++ v.1.4.0
2025/04/02 (21:41:49) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/02 (18:48:31) | ===> btop++ v.1.2.3
2025/04/02 (18:48:31) | ERROR: Exception in runner thread -> Cpu:: -> key not found

2025/04/03 (17:55:57) | ===> btop++ v.1.4.0
2025/04/03 (17:55:57) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/17 (11:32:34) | ===> btop++ v.1.2.3
2025/04/17 (11:32:34) | ERROR: Exception in runner thread -> Cpu:: -> key not found

2025/04/17 (11:32:37) | ===> btop++ v.1.2.3
2025/04/17 (11:32:37) | ERROR: Exception in runner thread -> Cpu:: -> key not found

2025/04/18 (16:55:19) | ===> btop++ v.1.4.0
2025/04/18 (16:55:19) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/18 (17:49:17) | ===> btop++ v.1.4.0
2025/04/18 (17:49:17) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/18 (17:49:29) | ===> btop++ v.1.4.0
2025/04/18 (17:49:29) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/18 (17:51:17) | ===> btop++ v.1.4.0
2025/04/18 (17:51:17) | WARNING: Intel GPU: Failed to initialize PMU
